36th Parliament, 1st Session
Pr28	South Simcoe Developments Inc. Act, 2023	
Saunderson, Brian
Pr29	Hillsdale Land Corp. Act, 2023	
Saunderson, Brian
29	Think Twice Before You Choose Natural Gas Act (Ontario Energy Board Amendment), 2022	
Hsu, Ted
30	Menstrual Health Day Act, 2022	
Karpoche, Bhutila
Pr30	Rapati Design and Construction Ltd. Act, 2023	
Smith, Dave
31	Murray Whetung Community Service Award Act, 2024	
Smith, Dave
Pr31	Geranium (Hillsdale) Limited Act, 2023	
Saunderson, Brian
Pr32	Allied Contractors (Kitchener) Limited Act, 2024	
Collard, Lucille
32	Black Mental Health Day Act, 2022	
Karpoche, Bhutila
Andrew, Jill
Lindo, Laura Mae
33	Maternal Mental Health Day Act, 2023	
Karpoche, Bhutila
Pr33	1000067464 Ontario Inc. Act, 2023	
Smith, Laura
Pr34	Bongo Studios Inc. Act, 2023	
Wong-Tam, Kristyn
34	Pandemic Preparedness Act, 2022	
Karpoche, Bhutila
Begum, Doly
Pr35	Winchester Design Build Inc. Act, 2023	
Bell, Jessica
35	Keeping Students in Class Repeal Act, 2022	
Calandra, Hon. Paul Minister of Legislative Affairs
36	Progress on the Plan to Build Act (Budget Measures), 2022	
Bethlenfalvy, Hon. Peter Minister of Finance
Pr36	Eastern Children of Israel Congregation Act, 2024	
Pang, Billy
37	Notwithstanding Clause Limitation Act, 2022	
Collard, Lucille
Pr37	Doreen Scolnick Investments Limited Act, 2024	
Smith, Laura
Pr38	The Six Brewing Company Inc. Act, 2024	
Hogarth, Christine
38	Protecting Vulnerable Persons in Supportive Living Accommodation Act, 2023	
Burch, Jeff
39	Better Municipal Governance Act, 2022	
Clark, Steve Minister of Municipal Affairs and Housing
Pr39	1082472 Ontario Limited Act, 2024	
Byers, Rick
40	Moving Ontarians Safely Act, 2023	
Harden, Joel
Begum, Doly
Bell, Jessica
Karpoche, Bhutila
Pr40	1000151830 Ontario Inc. Act, 2024	
Saunderson, Brian
Pr41	Qui Vive Island Club Inc. Act, 2024	
Scott, Laurie
41	Protection from Coerced Debts Incurred in relation to Human Trafficking Act, 2023	
Collard, Lucille
Glover, Chris
Schreiner, Mike
Scott, Laurie
Pr42	Luso Canadian Charitable Society Act (Tax Relief), 2024	
Cuzzetto, Rudy
42	Gender Affirming Health Care Advisory Committee Act, 2024	
Wong-Tam, Kristyn
Andrew, Jill
Kernaghan, Terence
Vaugeois, Lise
43	Making Northern Ontario Highways Safer Act, 2022	
Bourgouin, Guy
Pr43	Richard Crosby Investments Limited Act, 2024	
Hogarth, Christine
Pr44	2038778 Ontario Ltd. Act, 2024	
Harden, Joel
44	Building More Homes by Ending Exclusionary Zoning Act, 2022	
Schreiner, Mike
45	Building More Homes on Major Streets and Transit Corridors Act, 2022	
Schreiner, Mike
Pr45	1828469 Ontario Inc. Act, 2024	
Ghamari, Goldie
PR46	SOFTWAREREVIEWS.COM INC. Act, 2024	
Kernaghan, Terence
46	Less Red Tape, Stronger Ontario Act, 2023	
Gill, Parm Minister of Red Tape Reduction
PR47	1147946 Ontario Inc. Act, 2024	
Hogarth, Christine
47	Protecting Human Rights in an Emergency Act (Emergency Power Generators), 2023	
Pasma, Chandra
Bell, Jessica
Wong-Tam, Kristyn
Karpoche, Bhutila
PR48	Poulak and Rachar Limited Act, 2024	
Brady, Bobbi Ann
48	Rent Control for All Tenants Act, 2024	
Karpoche, Bhutila
Andrew, Jill
Bell, Jessica
Glover, Chris
49	Early Years and Child Care Worker Advisory Commission Act, 2022	
Karpoche, Bhutila
PR49	Gilda Investments Limited Act, 2024	
Martin, Robin
PR50	The Oakville Players Act, 2024	
Crawford, Hon. Stephen
50	Building Better Business Outcomes Act, 2023	
Bowman, Stephanie
PR51	1485997 Ontario Limited Act, 2024	
Tabuns, Peter
51	Legislative Assembly Amendment Act, 2022	
Calandra, Hon. Paul Minister of Legislative Affairs
52	Public Health Accountability Act (In Honour of Dr. Sheela Basrur), 2022	
Gélinas, France
Karpoche, Bhutila
PR52	MS Remedies Inc. Act, 2024	
Triantafilopoulos, Effie J.
53	Right to Timely Mental Health and Addiction Care for Children and Youth Act, 2022	
Karpoche, Bhutila
PR53	Rafiga Law Professional Corporation Act, 2024	
Begum, Doly
54	WSIB Coverage for Workers in Residential Care Facilities and Group Homes Act, 2023	
Fraser, John
PR54	The Abiezer Pentecostal Church (Toronto) Act, 2024	
Rakocevic, Tom
55	Four-Day Work Week Act, 2022	
Karpoche, Bhutila
PR55	Mount Pleasant Group of Cemeteries Act, 2024	
Coe, Lorne
PR56	The Oakville Players Act, 2024	
Cuzzetto, Rudy
56	Fewer Floods, Safer Ontario Act, 2023	
McMahon, Mary-Margaret
PR57	Judy Hatt Consulting Inc. Act, 2024	
Cuzzetto, Rudy
57	Respecting Injured Workers Act (Workplace Safety and Insurance Amendment), 2022	
Gates, Wayne
58	Protecting Renters from Illegal Evictions Act, 2022	
Bell, Jessica
Stevens, Jennifer (Jennie)
PR58	Lakeside Village Property Owners’ Association Fenelon Township Inc. Act, 2024	
Scott, Laurie
PR59	La Ferme Cantin Inc. Act, 2024	
Bourgouin, Guy
59	Making Sexual Assault Evidence Kits Available Act, 2022	
Scott, Laurie
PR60	Skybolt Construction Company Limited Act, 2024	
Pierre, Natalie
60	Your Health Act, 2023	
Jones, Hon. Sylvia Minister of Health
61	Making Psychotherapy Services Tax-Free Act, 2023	
Andrew, Jill
Gélinas, France
PR61	1976998 Ontario Inc. Act, 2024	
Dixon, Jess
62	Farmland and Arable Land Strategy Act, 2023	
Brady, Bobbi Ann
63	St. Thomas - Central Elgin Boundary Adjustment Act, 2023	
Clark, Steve Minister of Municipal Affairs and Housing
64	Chosen Family Day Act, 2023	
Wong-Tam, Kristyn
Andrew, Jill
Hunter, Mitzie
65	Honouring Our Veterans Act, 2023	
Coe, Lorne
PR65	MFIS Holdings and Investments Inc. Act, 2024	
Riddell, Brian
66	Heart Valve Disease Awareness Act, 2024	
Cuzzetto, Rudy
67	Temporary Nursing Agency Licensing and Regulation Act, 2023	
Shamji, Adil
68	Uploading Highways 174 and 17 Act, 2023	
Blais, Stephen
69	Reducing Inefficiencies Act (Infrastructure Statute Law Amendments), 2023	
Surma, Hon. Kinga Minister of Infrastructure
70	Seniors Month Act, 2024	
Gallagher Murphy, Dawn
71	Building More Mines Act, 2023	
Pirie, Hon. George Minister of Mines
72	Health Professionals' Week Act, 2023	
Shamji, Adil
73	Supporting Ontario's Community, Rural and Agricultural Newspapers Act, 2023	
Sarrazin, Stéphane
Ghamari, Goldie
74	Missing Persons Amendment Act, 2024	
Taylor, Monique
75	Queen's Park Restoration Act, 2023	
Calandra, Hon. Paul Minister of Legislative Affairs
76	Respecting Workers in Health Care and in Related Fields Act, 2023	
Gélinas, France
Gates, Wayne
West, Jamie
77	Supply Act, 2023	
Sarkaria, Hon. Prabmeet Singh President of the Treasury Board
78	Group of Seven Day Act, 2023	
McCarthy, Hon. Todd J.
79	Working for Workers Act, 2023	
Piccini, Hon. David Minister of Labour, Immigration, Training and Skills Development
80	Viewer Discretion Act (Images of Fetuses), 2023	
Kernaghan, Terence
Stevens, Jennifer (Jennie)
Sattler, Peggy
Armstrong, Teresa J.
81	Croatian Heritage Day Act, 2024	
Skelly, Donna
82	Enhancing Public Transit Accessibility Act, 2023	
Begum, Doly
83	Environmental Protection Amendment Act (Microfibre Filters for Washing Machines), 2023	
Bell, Jessica
Shaw, Sandy
84	Peter Kormos Memorial Act (Saving Organs to Save Lives), 2023	
Gélinas, France
85	Building a Strong Ontario Act (Budget Measures), 2023	
Bethlenfalvy, Hon. Peter Minister of Finance
86	Advisory Committee to Protect Ontario's People and Economy from Airborne Pandemics Act, 2023	
Wong-Tam, Kristyn
Andrew, Jill
Gates, Wayne
West, Jamie
87	Vital Statistics Amendment Act, 2023	
Armstrong, Teresa J.
88	Protecting Ontarians by Enhancing Gas Station Safety to Prevent Gas and Dash Act, 2023	
Anand, Deepak
89	Anti-Scab Labour Act, 2023	
Ruled out of order
90	Anti-Scab Labour Act, 2023	
Gélinas, France
French, Jennifer K.
Gretzky, Lisa
West, Jamie
91	Less Red Tape, Stronger Economy Act, 2023	
Gill, Parm Minister of Red Tape Reduction
92	Transparent and Accountable Health Care Act, 2023	
Gélinas, France
93	Joshua's Law (Lifejackets for Life), 2023	
Ghamari, Goldie
94	Keeping 2SLGBTQI+ Communities Safe Act, 2023	
Wong-Tam, Kristyn
Andrew, Jill
Kernaghan, Terence
Vaugeois, Lise
95	Making the Patient Ombudsman an Officer of the Assembly Act, 2023	
Fraser, John
96	Ministry of Correctional Services Amendment Act (Parole), 2023	
Yakabuski, John
97	Helping Homebuyers, Protecting Tenants Act, 2023	
Clark, Steve Minister of Municipal Affairs and Housing
98	Better Schools and Student Outcomes Act, 2023	
Lecce, Hon. Stephen Minister of Education
99	Garrett's Legacy Act (Requirements for Movable Soccer Goals), 2024	
Bresee, Ric
100	Strengthening Members' Integrity Act, 2023	
Stiles, Marit
101	Advocate for Older Adults Act, 2023	
Vaugeois, Lise
Lindo, Laura Mae
102	Strengthening Safety and Modernizing Justice Act, 2023	
Kerzner, Hon. Michael S. Solicitor General
103	Smoke-Free Ontario Amendment Act (Vaping is not for Kids), 2023	
Gélinas, France
104	10 Paid Sick Days for Ontario Workers Act, 2023	
Fraser, John
105	Assessing Fitness to Drive Act, 2023	
Mantha, Michael
106	Better Enforcement of the Tobacco Tax Act, 2023	
Gélinas, France
107	9-1-1 Everywhere in Ontario Act, 2023	
Gélinas, France
Mamakwa, Sol
Vanthof, John
Vaugeois, Lise
108	Education Statute Law Amendment Act (Fetal Alcohol Spectrum Disorder), 2023	
Hsu, Ted
109	Hands Off the Greenbelt Act, 2023	
Schreiner, Mike
110	No More Highways in the Greenbelt Act, 2023	
Schreiner, Mike
111	No More Pits or Quarries in the Greenbelt Act, 2023	
Schreiner, Mike
112	Hazel McCallion Act (Peel Dissolution), 2023	
Clark, Steve Minister of Municipal Affairs and Housing
113	Mount Pleasant Public Cemeteries Act, 2023	
Bell, Jessica
114	Safe Night Out Act, 2023	
Sattler, Peggy
Wong-Tam, Kristyn
115	Harvest Season Road Safety Week Act, 2023	
Flack, Hon. Rob
116	Health Protection and Promotion Amendment Act (Sodium Content), 2023	
Gélinas, France
117	Skilled Trades Week Act, 2023	
Smith, David
118	Injured Workers Day Act, 2024	
West, Jamie
119	Provincial Day Against Gun Violence in Ontario Act, 2023	
Glover, Chris
120	Liability for Climate-Related Harms Act, 2023	
Tabuns, Peter
Begum, Doly
Bell, Jessica
Shaw, Sandy
121	Improving Dementia Care in Ontario Act, 2024	
Smith, Laura
122	Ontario Consumer Watchdog Act, 2023	
Rakocevic, Tom
Karpoche, Bhutila
Fife, Catherine
Begum, Doly
123	Erin's Law (Child Sexual Abuse Prevention and Reporting), 2024	
Scott, Laurie
Dixon, Jess
124	Stopping the Misuse of Non-Disclosure Agreements Act, 2023	
Wong-Tam, Kristyn
Karpoche, Bhutila
Pasma, Chandra
Sattler, Peggy
125	Life Leases Act, 2023	
Khanjin, Hon. Andrea
126	Ban iGaming Advertising Act, 2023	
Gélinas, France
Taylor, Monique
Gretzky, Lisa
Rakocevic, Tom
127	Captain Craig Bowman Act, 2023	
Burch, Jeff
128	Disability Pride Month Act, 2023	
Collard, Lucille
129	Rare Disease Strategy Act, 2023	
Karpoche, Bhutila
Gélinas, France
Andrew, Jill
130	Oil, Gas and Salt Resources Amendment Act (Anti-Fracking), 2023	
Tabuns, Peter
Bell, Jessica
Begum, Doly
Shaw, Sandy
131	Transportation for the Future Act, 2023	
Surma, Hon. Kinga Minister of Infrastructure
132	Supporting Economic Recovery and Renewal in the Niagara Region Act, 2023	
Gates, Wayne
133	Kids' Online Safety and Privacy Month Act, 2024	
Collard, Lucille
134	Affordable Homes and Good Jobs Act, 2023	
Calandra, Hon. Paul Minister of Municipal Affairs and Housing
135	Convenient Care at Home Act, 2023	
Jones, Hon. Sylvia Minister of Health
136	Greenbelt Statute Law Amendment Act, 2023	
Calandra, Hon. Paul Minister of Municipal Affairs and Housing
137	Planning for Your Silver Years Awareness Week Act, 2024	
Wai, Daisy
138	Change of Name Amendment Act, 2023	
Scott, Laurie
Smith, Laura
139	Less Red Tape, More Common Sense Act, 2023	
Gill, Parm Minister of Red Tape Reduction
140	Improving Air Quality for Our Children Act, 2023	
Pasma, Chandra
Armstrong, Teresa J.
Karpoche, Bhutila
141	Life Leases Act, 2024	
Rae, Matthew
142	Better for Consumers, Better for Businesses Act, 2023	
McCarthy, Hon. Todd J. Minister of Public and Business Service Delivery
143	Harvest Season Road Safety Week Act, 2023	
Harris, Mike
144	Healthcare Staffing Agencies Act, 2023	
Gélinas, France
Gates, Wayne
145	Bird-Safe Windows Act, 2023	
Glover, Chris
146	Building a Strong Ontario Together Act (Budget Measures), 2023	
Bethlenfalvy, Hon. Peter Minister of Finance
147	Protecting our Crowns (Training Requirements with respect to Black, Indigenous, Racialized, Natural and Textured Hair Types) Act, 2023	
Andrew, Jill
148	Cleaning Up Corruption Act, 2023	
Glover, Chris
Stiles, Marit
149	Working for Workers Four Act, 2024	
Piccini, Hon. David Minister of Labour, Immigration, Training and Skills Development
150	Planning Statute Law Amendment Act, 2023	
Calandra, Hon. Paul Minister of Municipal Affairs and Housing
151	Improving Real Estate Management Act, 2024	
Surma, Hon. Kinga Minister of Infrastructure
152	Chad’s Law (Enforcing Safer Passing), 2023	
Bourgouin, Guy
153	Building Infrastructure Safely Act, 2024	
McCarthy, Hon. Todd J. Minister of Public and Business Service Delivery
154	New Deal for Toronto Act, 2023	
Bethlenfalvy, Hon. Peter Minister of Finance
155	Agricultural Research Institute of Ontario Amendment Act, 2024	
Thompson, Hon. Lisa M. Minister of Agriculture, Food and Rural Affairs
156	Homes You Can Afford in the Communities You Love Act, 2024	
Schreiner, Mike
157	Enhancing Access to Justice Act, 2024	
Downey, Hon. Doug Attorney General
158	Group of Seven Day Act, 2024	
Riddell, Brian
159	Preventing Unethical Puppy Sales Act, 2024	
Kerzner, Hon. Michael S. Solicitor General
160	Climate Crisis Health Action Plan Act, 2023	
Karpoche, Bhutila
Tabuns, Peter
161	Eastern Orthodox Christian Week Act, 2023	
Rakocevic, Tom
162	Get It Done Act, 2024	
Sarkaria, Hon. Prabmeet Singh Minister of Transportation
163	Relief for Renters Act, 2024	
Hazell, Andrea
164	Massage Therapy Day Act, 2024	
Gélinas, France
165	Keeping Energy Costs Down Act, 2024	
Smith, Hon. Todd Minister of Energy
166	Strengthening Accountability and Student Supports Act, 2024	
Dunlop, Hon. Jill Minister of Colleges and Universities
167	Orthodox Christian Week Act, 2024	
Rakocevic, Tom
168	Stormwater Flood Prevention Act, 2024	
McCrimmon, Karen
169	Removing Red Tape for Homeowners (No More Pushy, High-Pressure HVAC Scams) Act, 2024	
Kernaghan, Terence
Fife, Catherine
Karpoche, Bhutila
Rakocevic, Tom
170	Keeping People Housed Act, 2024	
Clancy, Aislinn
171	Enhancing Professional Care for Animals Act, 2024	
Thompson, Hon. Lisa M. Minister of Agriculture, Food and Rural Affairs
172	Affordable Energy Act, 2024	
Tabuns, Peter
Begum, Doly
Bell, Jessica
Pasma, Chandra
173	Intimate Partner Violence Epidemic Act, 2024	
Wong-Tam, Kristyn
Andrew, Jill
Gretzky, Lisa
Sattler, Peggy
174	Supply Act, 2024	
Mulroney, Hon. Caroline President of the Treasury Board
175	Building Universal and Inclusive Land Development in Ontario Act, 2024	
Shamji, Adil
176	End the Public Funding of Partisan Government Advertising Act, 2024	
Vanthof, John
Stiles, Marit
177	Test Your Smoke Alarm Day Act, 2024	
Yakabuski, John
178	Taxation Amendment Act (Promoting Leisure Activities for Youth), 2024	
Blais, Stephen
179	Fewer Backlogs and Less Partisan Tribunals Act, 2024	
Hsu, Ted
Bowman, Stephanie
Collard, Lucille
Fraser, John
180	Building a Better Ontario Act (Budget Measures), 2024	
Bethlenfalvy, Hon. Peter Minister of Finance
181	Family Caregiver Day Act, 2024	
Gélinas, France
182	Waterpower Day Act, 2024	
Mantha, Michael
183	Chinese Heritage Month Act, 2024	
Ke, Vincent
Babikian, Aris
184	Supporting Mobility, Affordability and Reliable Transportation in Ontario Act, 2024	
Hazell, Andrea
185	Cutting Red Tape to Build More Homes Act, 2024	
Calandra, Hon. Paul Minister of Legislative Affairs
186	Growing Agritourism Act, 2024	
Rae, Matthew
187	Right to Repair Consumer Electronic Products, Household Appliances, Wheelchairs, Motor Vehicles and Farming Heavy Equipment Act, 2024	
Rakocevic, Tom
Karpoche, Bhutila
Vanthof, John
188	Supporting Children's Futures Act, 2024	
Parsa, Hon. Michael Minister of Children, Community and Social Services
189	Lydia's Law (Accountability and Transparency in the Handling of Sexual Assault Cases), 2024	
Fife, Catherine
190	Working for Workers Five Act, 2024	
Piccini, Hon. David Minister of Labour, Immigration, Training and Skills Development
191	Childcare and Early Years Workforce Strategy Advisory Committee Act, 2024	
Armstrong, Teresa J.
Bell, Jessica
Karpoche, Bhutila
Pasma, Chandra
192	Patient-to-Nurse Ratios for Hospitals Act, 2024	
Gélinas, France
193	Provincial Parks and Conservation Reserves Amendment Act, 2024	
Dowie, Andrew
194	Strengthening Cyber Security and Building Trust in the Public Sector Act, 2024	
McCarthy, Hon. Todd J. Minister of Public and Business Service Delivery and Procurement
195	Cutting Taxes on Small Businesses Act, 2024	
Bowman, Stephanie
196	Justice for Soli Act (Stop Criminalizing Mental Health), 2024	
Wong-Tam, Kristyn
Gretzky, Lisa
Stevens, Jennifer (Jennie)
Mamakwa, Sol
197	Safer Roads and Communities Act, 2024	
Sarkaria, Hon. Prabmeet Singh Minister of Transportation
198	Ontario Climate Change Adaptation and Resilience Act, 2024	
Tabuns, Peter
Pasma, Chandra
Shaw, Sandy
199	EV-Ready Homes Act (Electric Vehicle Charging), 2024	
French, Jennifer K.
200	Homeowner Protection Act, 2024	
McCarthy, Hon. Todd J. Minister of Public and Business Service Delivery
201	Commercial to Residential Conversion Act, 2024	
McCrimmon, Karen
202	Lower Fares, Better Service on the Union Pearson Express Act, 2024	
Bell, Jessica
Harden, Joel
Karpoche, Bhutila
Rakocevic, Tom
203	Keeping Primary Care Fair Act (Restricting Private Payments for Nurse Practitioner Services), 2024	
Shamji, Adil
204	Homelessness Task Force Act, 2024	
Karpoche, Bhutila
Gretzky, Lisa
205	Turn Down the Heat Act (Extreme Heat Awareness), 2024	
McMahon, Mary-Margaret
206	Affordable Electric Vehicles and Accessible Charging Act, 2024	
Schreiner, Mike
Clancy, Aislinn
207	Municipal Accountability and Integrity Act, 2024	
Burch, Jeff
208	Sacred Spaces, Safe Places Act, 2024	
Fraser, John
209	Black Maternal Health and Reproductive Justice Month Act, 2024	
Hazell, Andrea
Collard, Lucille
210	Stopping Illegal Handgun Smuggling Act, 2024	
